user_id,umeta_id,meta_key,meta_value
1,1,nickname,admin
1,2,first_name,<blank>
1,3,last_name,<blank>
1,4,description,<blank>
1,5,rich_editing,true
1,6,syntax_highlighting,true
1,7,comment_shortcuts,false
1,8,admin_color,fresh
1,9,use_ssl,0
1,10,show_admin_bar_front,true
1,11,locale,<blank>
1,12,wp_capabilities,"a:1:{s:13:""administrator"";b:1;}"
1,13,wp_user_level,10
1,14,dismissed_wp_pointers,<blank>
1,15,show_welcome_panel,1
1,16,session_tokens,"a:1:{s:64:""6a2acd4143df862d4e1f6484692d019190becf447b104a80353ae1205836d12c"";a:4:{s:10:""expiration"";i:1611434023;s:2:""ip"";s:9:""127.0.0.1"";s:2:""ua"";s:74:""Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:65.0) Gecko/20100101 Firefox/65.0"";s:5:""login"";i:1611261223;}}"
1,17,wp_dashboard_quick_press_last_post_id,4
1,18,community-events-location,"a:1:{s:2:""ip"";s:9:""127.0.0.0"";}"
2,19,nickname,wp_jeffrey
2,20,first_name,wp
2,21,last_name,jeffrey
2,22,description,<blank>
2,23,rich_editing,true
2,24,syntax_highlighting,true
2,25,comment_shortcuts,false
2,26,admin_color,fresh
2,27,use_ssl,0
2,28,show_admin_bar_front,true
2,29,locale,<blank>
2,30,wp_capabilities,"a:1:{s:10:""subscriber"";b:1;}"
2,31,wp_user_level,0
2,32,dismissed_wp_pointers,<blank>
3,33,nickname,wp_yura
3,34,first_name,wp
3,35,last_name,yura
3,36,description,<blank>
3,37,rich_editing,true
3,38,syntax_highlighting,true
3,39,comment_shortcuts,false
3,40,admin_color,fresh
3,41,use_ssl,0
3,42,show_admin_bar_front,true
3,43,locale,<blank>
3,44,wp_capabilities,"a:1:{s:13:""administrator"";b:1;}"
3,45,wp_user_level,10
3,46,dismissed_wp_pointers,<blank>
4,47,nickname,wp_eagle
4,48,first_name,wp
4,49,last_name,eagle
4,50,description,<blank>
4,51,rich_editing,true
4,52,syntax_highlighting,true
4,53,comment_shortcuts,false
4,54,admin_color,fresh
4,55,use_ssl,0
4,56,show_admin_bar_front,true
4,57,locale,<blank>
4,58,wp_capabilities,"a:1:{s:10:""subscriber"";b:1;}"
4,59,wp_user_level,0
4,60,dismissed_wp_pointers,<blank>
5873,61,nickname,wp_eagle
5873,62,first_name,wp
5873,63,last_name,eagle
5873,64,description,<blank>
5873,65,rich_editing,true
5873,66,syntax_highlighting,true
5873,67,comment_shortcuts,false
5873,68,admin_color,fresh
5873,69,use_ssl,0
5873,70,show_admin_bar_front,true
5873,71,locale,<blank>
5873,72,wp_capabilities,"a:1:{s:10:""subscriber"";b:1;}"
5873,73,wp_user_level,0
5773,74,nickname,wp_yura
5773,75,first_name,wp
5773,76,last_name,yura
5773,77,description,<blank>
5773,78,rich_editing,true
5773,79,syntax_highlighting,true
5773,80,comment_shortcuts,false
5773,81,admin_color,fresh
5773,82,use_ssl,0
5773,83,show_admin_bar_front,true
5773,84,locale,<blank>
5773,85,wp_capabilities,"a:1:{s:13:""administrator"";b:1;}"
5773,86,wp_user_level,10
5743,87,nickname,yura
5743,88,first_name,wp_yura
5743,89,last_name,wp
5743,90,description,<blank>
5743,91,rich_editing,true
5743,92,syntax_highlighting,true
5743,93,comment_shortcuts,false
5743,94,admin_color,fresh
5743,95,use_ssl,0
5743,96,show_admin_bar_front,true
5743,97,locale,<blank>
5743,98,wp_capabilities,"a:1:{s:10:""subscriber"";b:1;}"
5743,99,wp_user_level,0
5773,100,session_tokens,"a:2:{s:64:""31a71537bf5768ee9dea7df9efbed15a3eb37af986c6c2c27d4b5d16f8771e95"";a:4:{s:10:""expiration"";i:1611501382;s:2:""ip"";s:11:""10.250.0.44"";s:2:""ua"";s:50:""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"";s:5:""login"";i:1611328582;}s:64:""9ca710666afd448c0686468955bc7fd3f8616ae755a1f31424268ee3a8286040"";a:4:{s:10:""expiration"";i:1611503249;s:2:""ip"";s:11:""10.250.0.44"";s:2:""ua"";s:50:""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"";s:5:""login"";i:1611330449;}}"

